item,price,high_alch,low_alch
Blade of saeldor (inactive),158365301.0,3000000.0,2000000.0
Blamish bark shell,2520.0,90.0,60.0
Blamish blue shell (pointed),2947.0,90.0,60.0
Blamish blue shell (round),1302.0,90.0,60.0
Blamish myre shell (pointed),239.0,90.0,60.0
Blamish myre shell (round),259.0,90.0,60.0
Blamish ochre shell (pointed),242.0,90.0,60.0
Blamish ochre shell (round),148.0,90.0,60.0
Blamish red shell (pointed),722.0,90.0,60.0
Blamish red shell (round),315.0,90.0,60.0
Blessed spirit shield,724445.0,720000.0,480000.0
Blighted ancient ice sack,781.0,1.0,1.0
Blighted anglerfish,473.0,1.0,1.0
Blighted entangle sack,50.0,1.0,1.0
Blighted karambwan,272.0,1.0,1.0
Blighted manta ray,1544.0,1.0,1.0
Blighted overload (1),2978.0,1.0,1.0
Blighted overload (2),5211.0,1.0,1.0
Blighted overload (3),7826.0,1.0,1.0
Blighted overload (4),24701.0,1.0,1.0
Blighted super restore(4),5489.0,1.0,1.0
Blighted teleport spell sack,106.0,1.0,1.0
Blighted vengeance sack,199.0,1.0,1.0
Blood essence,71425.0,60000.0,40000.0
Blood moon chestplate,6140330.0,174006.0,116004.0
Blood moon chestplate (broken),5342473.0,174006.0,116004.0
Blood moon helm,1083485.0,61800.0,41200.0
Blood moon helm (broken),341183.0,61800.0,41200.0
Blood moon tassets,11945933.0,173946.0,115964.0
Blood moon tassets (broken),11365076.0,173946.0,115964.0
Blood pint,192.0,1.0,1.0
Blood rune,286.0,240.0,160.0
Blood shard,14838338.0,1.0,1.0
Blood talisman,163263.0,1.0,1.0
Blood tiara,184927.0,1.0,1.0
Blood'n'tar snelm,154.0,180.0,120.0
Bloodbark body,192518.0,1.0,1.0
Bloodbark boots,37222.0,1.0,1.0
Bloodbark gauntlets,42811.0,1.0,1.0
Bloodbark helm,86845.0,1.0,1.0
Bloodbark legs,186832.0,1.0,1.0
Bloody bracer,973.0,1.0,1.0
Blue beret,17335.0,48.0,32.0
Blue boater,6545.0,135.0,90.0
Blue boots,1542.0,120.0,80.0
Blue cape,156.0,19.0,12.0
Blue d'hide body,5087.0,5616.0,3744.0
Blue d'hide body (g),5069.0,5616.0,3744.0
Blue d'hide body (t),5170.0,5616.0,3744.0
Blue d'hide chaps,2271.0,2592.0,1728.0
Blue d'hide chaps (g),5046.0,2592.0,1728.0
Blue d'hide chaps (t),2127.0,2592.0,1728.0
Blue d'hide shield,4406.0,4500.0,3000.0
Blue d'hide vambraces,1528.0,1800.0,1200.0
Blue dark bow paint,287895.0,1.0,1.0
Blue dragon leather,2143.0,42.0,28.0
Blue dragon mask,5632.0,6000.0,4000.0
Blue dragon scale,16.0,30.0,20.0
Blue dragonhide,1956.0,84.0,56.0
Blue dragonhide set,10330.0,3000.0,2000.0
Blue dye,499.0,3.0,2.0
Blue elegant blouse,84156.0,1200.0,800.0
Blue elegant legs,11716.0,1200.0,800.0
Blue elegant shirt,10565.0,1200.0,800.0
Blue elegant skirt,21391.0,1200.0,800.0
Blue feather,44.0,9.0,6.0
Blue firelighter,74.0,9.0,6.0
Blue flowers,105.0,60.0,40.0
Blue halloween mask,6779.0,9.0,6.0
Blue hat,816.0,96.0,64.0
Blue headband,4233.0,24.0,16.0
Blue moon chestplate,2737658.0,174006.0,116004.0
Blue moon chestplate (broken),1473892.0,174006.0,116004.0
Blue moon helm,589074.0,61800.0,41200.0
Blue moon helm (broken),95237.0,61800.0,41200.0
Blue moon spear,725483.0,60000.0,40000.0
Blue moon tassets,8126576.0,173946.0,115964.0
Blue moon tassets (broken),6155831.0,173946.0,115964.0
Blue partyhat,21107.0,1.0,1.0
Blue robe bottoms,726.0,108.0,72.0
Blue robe top,1356.0,108.0,72.0
Blue skirt,97.0,1.0,1.0
Blue skirt (g),28899.0,1.0,1.0
Blue skirt (t),16731.0,1.0,1.0
Blue spiky vambraces,2023.0,1800.0,1200.0
Blue wizard hat,369.0,1.0,1.0
Blue wizard hat (g),187361.0,1.0,1.0
Blue wizard hat (t),59264.0,1.0,1.0
Blue wizard robe,2497.0,9.0,6.0
Blue wizard robe (g),111672.0,9.0,6.0
Blue wizard robe (t),37566.0,9.0,6.0
Bluegill,48.0,1.0,1.0
Blurberry special,4081.0,18.0,12.0
Bob's black shirt,33077.0,1.0,1.0
Bob's blue shirt,21497.0,1.0,1.0
Bob's green shirt,17882.0,1.0,1.0
Bob's purple shirt,29607.0,1.0,1.0
Bob's red shirt,20691.0,1.0,1.0
Body rune,6.0,1.0,1.0
Body talisman,2365.0,2.0,1.0
Body tiara,14.0,60.0,40.0
Bolt mould,10.0,15.0,10.0
Bolt of cloth,1054.0,300.0,200.0
Bolt rack,114.0,30.0,20.0
Bone bolts,4.0,1.0,1.0
Bone club,793.0,360.0,240.0
Bone dagger,4804.0,1200.0,800.0
Bone dagger (p),4687.0,1200.0,800.0
Bone dagger (p+),5347.0,1200.0,800.0
Bone dagger (p++),10334.0,1200.0,800.0
Bone fragments,618.0,1.0,1.0
Bone spear,959.0,360.0,240.0
Bones,60.0,1.0,1.0
Bones to bananas (tablet),572.0,1.0,1.0
Bones to peaches (tablet),588.0,1.0,1.0
Book of balance page set,19901.0,4200.0,2800.0
Book of darkness page set,28682.0,4500.0,3000.0
Book of law page set,29296.0,4500.0,3000.0
Book of war page set,18593.0,4500.0,3000.0
Bookcase (flatpack),33.0,6.0,4.0
Boots of brimstone,663563.0,12000.0,8000.0
Boots of darkness,9650.0,6000.0,4000.0
Boots of stone,559.0,120.0,80.0
Botanical pie,1385.0,18.0,12.0
Bottle of wine,825.0,300.0,200.0
Bottled dragonbreath,13796.0,300.0,200.0
Bottled dragonbreath (unpowered),11417.0,300.0,200.0
Bottomless compost bucket,667366.0,27000.0,18000.0
Bounty supply crate,10409.0,1.0,1.0
Bounty supply crate (anglerfish),11625.0,1.0,1.0
Bounty supply crate (manta ray),13168.0,1.0,1.0
Bow of faerdhinen (inactive),160134144.0,3000000.0,2000000.0
Bow string,99.0,6.0,4.0
Bowl,20.0,2.0,1.0
Bowl of hot water,273.0,6.0,4.0
Bowl of water,78.0,2.0,1.0
Bowl wig,41842.0,1.0,1.0
Box trap,38.0,19.0,12.0
Bracelet mould,460.0,3.0,2.0
Bracelet of clay,574.0,759.0,506.0
Bracelet of ethereum (uncharged),44278.0,43200.0,28800.0
Bracelet of slaughter,2815.0,1500.0,1000.0
Brandy,94.0,3.0,2.0
Brass key,425.0,1.0,1.0
Brass necklace,183.0,18.0,12.0
Bread,144.0,7.0,4.0
Bread dough,223.0,2.0,1.0
Briefcase,274475.0,399.0,266.0
Brimstone ring,3115012.0,6000.0,4000.0
Brine sabre,439157.0,15600.0,10400.0
Broad arrowheads,57.0,33.0,22.0
Broad bolts,51.0,33.0,22.0
Broken bark snelm,81.0,180.0,120.0
Broken dragon hasta,39700.0,37440.0,24960.0
Broken zombie axe,1604339.0,1.0,1.0
Broken zombie helmet,424865.0,1.0,1.0
Bronze 2h sword,212.0,48.0,32.0
Bronze arrow,3.0,1.0,1.0
Bronze arrow(p),65.0,1.0,1.0
Bronze arrow(p+),18.0,1.0,1.0
Bronze arrow(p++),38.0,1.0,1.0
Bronze arrowtips,4.0,1.0,1.0
Bronze axe,96.0,9.0,6.0
Bronze bar,124.0,4.0,3.0
Bronze battleaxe,59.0,31.0,20.0
Bronze bolts,3.0,1.0,1.0
Bronze bolts (p),76.0,1.0,1.0
Bronze bolts (p+),296.0,1.0,1.0
Bronze bolts (p++),808.0,1.0,1.0
Bronze bolts (unf),23.0,1.0,1.0
Bronze boots,1274.0,14.0,9.0
Bronze brutal,145.0,3.0,2.0
Bronze chainbody,42.0,36.0,24.0
Bronze claws,181.0,9.0,6.0
Bronze crossbow,635.0,43.0,29.0
Bronze crossbow (u),118.0,24.0,16.0
Bronze dagger,81.0,6.0,4.0
Bronze dagger(p),249.0,6.0,4.0
Bronze dagger(p+),2109.0,6.0,4.0
Bronze dagger(p++),3948.0,6.0,4.0
Bronze dart,14.0,1.0,1.0
Bronze dart tip,44.0,1.0,1.0
Bronze dart(p),29.0,1.0,1.0
Bronze dart(p+),38.0,1.0,1.0
Bronze dart(p++),53.0,1.0,1.0
Bronze dragon mask,5791.0,6000.0,4000.0
Bronze felling axe,1076.0,9.0,6.0
Bronze full helm,85.0,26.0,17.0
Bronze full helm (g),55733.0,28.0,19.0
Bronze full helm (t),7595.0,28.0,19.0
Bronze gold-trimmed set (lg),221453.0,120.0,80.0
Bronze gold-trimmed set (sk),191791.0,120.0,80.0
Bronze halberd,630.0,48.0,32.0
Bronze hasta,167.0,15.0,10.0
Bronze hasta(p),4089.0,15.0,10.0
Bronze hasta(p+),5439.0,15.0,10.0
Bronze hasta(p++),5381.0,15.0,10.0
Bronze javelin,17.0,2.0,1.0
Bronze javelin heads,42.0,15.0,10.0
Bronze javelin(p),10.0,2.0,1.0
Bronze javelin(p+),11.0,2.0,1.0
Bronze javelin(p++),14.0,2.0,1.0
Bronze kiteshield,103.0,40.0,27.0
Bronze kiteshield (g),49361.0,38.0,25.0
Bronze kiteshield (t),5512.0,38.0,25.0
Bronze knife,32.0,1.0,1.0
Bronze knife(p),59.0,1.0,1.0
Bronze knife(p+),50.0,1.0,1.0
Bronze knife(p++),208.0,1.0,1.0
Bronze limbs,48.0,12.0,8.0
Bronze locks,1114.0,480.0,320.0
Bronze longsword,73.0,24.0,16.0
Bronze mace,104.0,10.0,7.0
Bronze med helm,76.0,14.0,9.0
Bronze nails,4.0,1.0,1.0
Bronze pickaxe,63.0,1.0,1.0
Bronze platebody,61.0,96.0,64.0
Bronze platebody (g),64853.0,96.0,64.0
Bronze platebody (t),4670.0,96.0,64.0
Bronze platelegs,354.0,48.0,32.0
Bronze platelegs (g),14667.0,48.0,32.0
Bronze platelegs (t),3981.0,48.0,32.0
Bronze plateskirt,41.0,48.0,32.0
Bronze plateskirt (g),3390.0,48.0,32.0
Bronze plateskirt (t),3469.0,48.0,32.0
Bronze scimitar,54.0,19.0,12.0
Bronze set (lg),524.0,120.0,80.0
Bronze set (sk),484.0,120.0,80.0
Bronze spear,320.0,15.0,10.0
Bronze spear(p),1277.0,15.0,10.0
Bronze spear(p+),764.0,15.0,10.0
Bronze spear(p++),67.0,15.0,10.0
Bronze sq shield,31.0,28.0,19.0
Bronze sword,52.0,15.0,10.0
Bronze thrownaxe,17.0,1.0,1.0
Bronze trimmed set (lg),57048.0,120.0,80.0
Bronze trimmed set (sk),51221.0,120.0,80.0
Bronze warhammer,57.0,28.0,18.0
Bronze wire,366.0,12.0,8.0
Broodoo shield (10) (combat),2353.0,1800.0,1200.0
Broodoo shield (10) (disease),2317.0,1800.0,1200.0
Broodoo shield (10) (poison),4084.0,1800.0,1200.0
Broodoo shield (combat),5621.0,1800.0,1200.0
Broodoo shield (disease),6038.0,1800.0,1200.0
Broodoo shield (poison),6355.0,1800.0,1200.0
Brown apron,98.0,1.0,1.0
Brown headband,2570.0,24.0,16.0
Brown toy horsey,303.0,60.0,40.0
Bruise blue snelm,1014.0,180.0,120.0
Bryophyta's essence,11132755.0,4200.0,2800.0
Bryophyta's staff (uncharged),11132268.0,39000.0,26000.0
Bucket,6.0,1.0,1.0
Bucket helm,52404.0,8400.0,5600.0
Bucket helm (g),7261808.0,8400.0,5600.0
Bucket of milk,48.0,3.0,2.0
Bucket of sand,15.0,1.0,1.0
Bucket of sap,488.0,18.0,12.0
Bucket of water,39.0,3.0,2.0
Bucket of wax,608.0,3.0,2.0
Bullseye lantern,2069.0,252.0,168.0
Bullseye lantern (empty),788.0,240.0,160.0
Bullseye lantern (unf),283.0,180.0,120.0
Burning amulet(5),3203.0,750.0,500.0
Burning claw,8149203.0,1.0,1.0
Burning claws,16596532.0,1.0,1.0
Burnt bones,329.0,1.0,1.0
Burnt page,1595.0,120.0,80.0
Butterfly jar,111.0,1.0,1.0
Butterfly net,24.0,12.0,8.0
Cabbage,67.0,1.0,1.0
Cabbage round shield,13454.0,1800.0,1200.0
Cabbage seed,2.0,1.0,1.0
Cabbages(10),1330.0,1.0,1.0
Cactus seed,103.0,59.0,39.0
Cactus spine,2195.0,1.0,1.0
Cadantine,3345.0,39.0,26.0
Cadantine blood potion (unf),18717.0,99.0,66.0
Cadantine potion (unf),3553.0,39.0,26.0
Cadantine seed,3534.0,4.0,2.0
Cadava berries,147.0,1.0,1.0
Cadavaberry seed,3.0,5.0,3.0
Cake,178.0,30.0,20.0
Cake tin,87.0,6.0,4.0
Calcified moth,6217.0,,
Calcite,77.0,18.0,12.0
Calquat fruit,163.0,32.0,21.0
Calquat keg,236.0,1.0,1.0
Calquat sapling,602.0,1.0,1.0
Calquat tree seed,153.0,204.0,136.0
Camelot teleport (tablet),367.0,1.0,1.0
Candle,57.0,1.0,1.0
Candle lantern (black),6618.0,9.0,6.0
Candle lantern (white),445.0,9.0,6.0
Cannon barrels,177401.0,112500.0,75000.0
Cannon base,192722.0,112500.0,75000.0
Cannon furnace,199204.0,112500.0,75000.0
Cannon stand,179050.0,112500.0,75000.0
Cannonball,195.0,3.0,2.0
Cape of skulls,5220016.0,3000.0,2000.0
Carrallanger teleport (tablet),1379.0,1.0,1.0
Carved oak bench (flatpack),11.0,6.0,4.0
Carved oak magic wardrobe (flatpack),11.0,6.0,4.0
Carved oak table (flatpack),2.0,6.0,4.0
Carved teak bench (flatpack),109.0,6.0,4.0
Carved teak magic wardrobe (flatpack),33.0,6.0,4.0
Carved teak table (flatpack),313.0,6.0,4.0
Casket,2434.0,30.0,20.0
Castle wars bracelet(3),1090.0,1005.0,670.0
Cat mask,19776.0,1440.0,960.0
Catalytic talisman,3482.0,1.0,1.0
Catalytic tiara,1153.0,1.0,1.0
Catherby teleport (tablet),1337.0,1.0,1.0
Cavalier mask,121315.0,120.0,80.0
Cave eel,102.0,9.0,6.0
Cave goblin wire,2330.0,12.0,8.0
Caviar,223.0,30.0,20.0
Celastrus bark,8691.0,270.0,180.0
Celastrus sapling,75560.0,1.0,1.0
Celastrus seed,73272.0,324.0,216.0
Cemetery teleport (tablet),2464.0,1.0,1.0
Chaos rune,102.0,54.0,36.0
Chaos talisman,161.0,2.0,1.0
Chaos tiara,374.0,60.0,40.0
Charcoal,336.0,27.0,18.0
Charge dragonstone jewellery scroll,177.0,1.0,1.0
Cheese,51.0,2.0,1.0
Cheese+tom batta,2414.0,1.0,1.0
Chef's delight,459.0,1.0,1.0
Chef's delight (flatpack),16028.0,6.0,4.0
Chef's delight(4),12568.0,1.0,1.0
Chef's delight(m),40098.0,1.0,1.0
Chef's delight(m4),223991.0,1.0,1.0
Chef's hat,332.0,1.0,1.0
Chichilihui rosé,128.0,60.0,40.0
Chilhuac red,954.0,240.0,160.0
Chilli con carne,39.0,7.0,5.0
Chilli potato,136.0,7.0,5.0
Chinchompa,1394.0,84.0,56.0
Chisel,60.0,1.0,1.0
Chitin,5000.0,1.0,1.0
Choc saturday,52.0,18.0,12.0
Choc-ice,203.0,18.0,12.0
Chocchip crunchies,2182.0,1.0,1.0
Chocolate bar,68.0,6.0,4.0
Chocolate bomb,1070.0,1.0,1.0
Chocolate cake,187.0,42.0,28.0
Chocolate dust,97.0,1.0,1.0
Chopped garlic,297.0,4.0,2.0
Chopped onion,78.0,1.0,1.0
Chopped tomato,54.0,1.0,1.0
Chopped tuna,250.0,62.0,41.0
Chopped ugthanki,11.0,3.0,2.0
Christmas cracker,259960.0,1.0,1.0
Chromium ingot,68717.0,30000.0,20000.0
Chugging barrel (disassembled),13466811.0,600.0,400.0
Cider,120.0,1.0,1.0
Cider barrel (flatpack),12486.0,6.0,4.0
Cider(4),10535.0,1.0,1.0
Cider(m4),84232.0,1.0,1.0
Circular hide,20138.0,36.0,24.0
Citizen shoes,716.0,3.0,2.0
Citizen top,609.0,3.0,2.0
Citizen trousers,481.0,3.0,2.0
Civitas illa fortis teleport,539.0,1.0,1.0
Claws of callisto,51646.0,1.0,1.0
Clay,100.0,1.0,1.0
Cleaning cloth,611.0,36.0,24.0
Cleaver,17029.0,15360.0,10240.0
Climbing boots,787.0,7.0,4.0
Climbing boots (g),47169.0,45000.0,30000.0
Clockwork,945.0,300.0,200.0
Clothes pouch,152786.0,1.0,1.0
Clothes pouch blueprint,169283.0,1.0,1.0
Clue box,210241.0,6.0,4.0
Coal,163.0,27.0,18.0
Cocktail glass,191.0,1.0,1.0
Cocktail guide,26.0,1.0,1.0
Cocktail shaker,30.0,1.0,1.0
Coconut,2635.0,52.0,34.0
Coconut milk,298.0,1.0,1.0
Cod,46.0,6.0,4.0
Coif,86.0,120.0,80.0
Colossal wyrm teleport scroll,44771.0,6.0,4.0
Combat bracelet,12349.0,12624.0,8416.0
Combat bracelet(4),12487.0,12624.0,8416.0
Combat bracelet(6),12540.0,12624.0,8416.0
Combat mix(1),306.0,31.0,20.0
Combat mix(2),248.0,63.0,42.0
Combat potion set,1083.0,42.0,28.0
Combat potion(1),56.0,31.0,20.0
Combat potion(2),125.0,63.0,42.0
Combat potion(3),225.0,96.0,64.0
Combat potion(4),311.0,129.0,86.0
Common kebbit fur,1001.0,7.0,4.0
Common tench,525.0,1.0,1.0
Comp ogre bow,792.0,108.0,72.0
Compost,20.0,12.0,8.0
Compost potion(1),13.0,18.0,12.0
Compost potion(2),48.0,36.0,24.0
Compost potion(3),1.0,54.0,36.0
Compost potion(4),1.0,72.0,48.0
Condensed gold,10416838.0,4800000.0,3200000.0
Cooked barb-tailed kebbit,735.0,2.0,1.0
Cooked chicken,95.0,2.0,1.0
Cooked chompy,111.0,78.0,52.0
Cooked chompy (roasted),11654.0,51.0,34.0
Cooked crab meat,1488.0,30.0,20.0
Cooked dashing kebbit,1802.0,2.0,1.0
Cooked graahk,754.0,2.0,1.0
Cooked jubbly,1405.0,90.0,60.0
Cooked karambwan,531.0,150.0,100.0
Cooked kyatt,265.0,2.0,1.0
Cooked larupia,608.0,2.0,1.0
Cooked meat,91.0,2.0,1.0
Cooked moonlight antelope,2991.0,2.0,1.0
Cooked mystery meat,167.0,1.0,1.0
Cooked oomlie wrap,4302.0,21.0,14.0
Cooked pyre fox,448.0,2.0,1.0
Cooked rabbit,284.0,2.0,1.0
Cooked slimy eel,51.0,1.0,1.0
Cooked sunlight antelope,831.0,2.0,1.0
Cooked sweetcorn,184.0,5.0,3.0
Cooked wild kebbit,823.0,2.0,1.0
Cooking apple,45.0,1.0,1.0
Copper ore,18.0,1.0,1.0
Cornflour,46796.0,1.0,1.0
Corrupted armadyl godsword,2500000.0,1.0,1.0
Corrupted dark bow,1000000.0,1.0,1.0
Corrupted dragon claws,2500000.0,1.0,1.0
Corrupted scythe of vitur (uncharged),2500000.0,1.0,1.0
Corrupted tumeken's shadow (uncharged),2500000.0,1.0,1.0
Corrupted twisted bow,2500000.0,1.0,1.0
Corrupted voidwaker,2500000.0,1.0,1.0
Corrupted volatile nightmare staff,1000000.0,1.0,1.0
Cosmic rune,114.0,30.0,20.0
Cosmic talisman,182.0,2.0,1.0
Cosmic tiara,70.0,60.0,40.0
Cowhide,243.0,1.0,1.0
Craw's bow (u),20052438.0,72000.0,48000.0
Cream boots,1241.0,120.0,80.0
Cream hat,1393.0,96.0,64.0
Cream robe bottoms,239.0,108.0,72.0
Cream robe top,832.0,108.0,72.0
Crier bell,4348.0,3000.0,2000.0
Crier coat,4691.0,3000.0,2000.0
Crier hat,2820.0,3000.0,2000.0
Crossbow,332.0,42.0,28.0
Crossbow string,472.0,1.0,1.0
Crude chair (flatpack),1614.0,6.0,4.0
Crunchy tray,390.0,6.0,4.0
Crushed nest,7833.0,120.0,80.0
Crushed superior dragon bones,25203.0,30.0,20.0
Crystal armour seed,8373551.0,300000.0,200000.0
Crystal ball (flatpack),261.0,6.0,4.0
Crystal grail,345467.0,18000.0,12000.0
Crystal key,26281.0,90.0,60.0
Crystal of power (flatpack),6368.0,6.0,4.0
Crystal tool seed,25278961.0,300000.0,200000.0
Crystal weapon seed,324416.0,1.0,1.0
Cup of hot water,309.0,6.0,4.0
Cup of tea,107.0,6.0,4.0
Cup of water,34.0,6.0,4.0
Cured yak-hide,709.0,60.0,40.0
Curry,454.0,12.0,8.0
Curry leaf,31.0,11.0,7.0
Curry sapling,405.0,1.0,1.0
Curry tree seed,31.0,23.0,15.0
Cursed amulet of magic,20212.0,1.0,1.0
Cyclops head,4872.0,3000.0,2000.0
Dagannoth bones,15335.0,90.0,60.0
Dagannoth hide,321.0,36.0,24.0
Dagon'hai hat,337618.0,10200.0,6800.0
Dagon'hai robe bottom,660582.0,54000.0,36000.0
Dagon'hai robe top,1345841.0,84000.0,56000.0
Dagon'hai robes set,2431317.0,130200.0,86800.0
Damaged monkey tail,90.0,1.0,1.0
Dareeyak teleport (tablet),889.0,1.0,1.0
Dark bow,1100220.0,72001.0,48000.0
Dark bow tie,888125.0,3000.0,2000.0
Dark cavalier,4471.0,120.0,80.0
Dark crab,1428.0,192.0,128.0
Dark fishing bait,6.0,1.0,1.0
Dark infinity colour kit,10544.0,3000.0,2000.0
Dark kebbit fur,55.0,126.0,84.0
Dark trousers,1475503.0,3600.0,2400.0
Dark tuxedo cuffs,757102.0,1800.0,1200.0
Dark tuxedo jacket,3177272.0,6000.0,4000.0
Dark tuxedo shoes,1098529.0,1800.0,1200.0
Dashing kebbit fur,41.0,162.0,108.0
Death rune,187.0,108.0,72.0
Death talisman,7290.0,2.0,1.0
Death tiara,6534.0,60.0,40.0
Deerstalker,21874.0,1380.0,920.0
Defence mix(1),23.0,36.0,24.0
Defence mix(2),78.0,54.0,36.0
Defence potion(1),171.0,36.0,24.0
Defence potion(2),257.0,54.0,36.0
Defence potion(3),441.0,72.0,48.0
Defence potion(4),731.0,90.0,60.0
Demon feet,63740.0,600.0,400.0
Desert boots,277.0,12.0,8.0
Desert camo legs,7544.0,12.0,8.0
Desert camo top,6519.0,12.0,8.0
Desert devil fur,1153.0,10.0,6.0
Desert goat horn,46.0,7.0,4.0
Desert legs,1381.0,15.0,10.0
Desert robe,210.0,24.0,16.0
Desert robes,991.0,15.0,10.0
Desert shirt,377.0,24.0,16.0
Desert top,761.0,9.0,6.0
Desert top (overcoat),1122.0,21.0,14.0
Devout boots,1934807.0,12000.0,8000.0
Dexterous prayer scroll,9338202.0,48000.0,32000.0
Dharok's armour set,4826361.0,240000.0,160000.0
Dharok's greataxe,2464576.0,124800.0,83200.0
Dharok's greataxe 0,2393128.0,124800.0,83200.0
Dharok's helm,432017.0,61800.0,41200.0
Dharok's helm 0,398574.0,61800.0,41200.0
Dharok's platebody,940270.0,168000.0,112000.0
Dharok's platebody 0,873031.0,168000.0,112000.0
Dharok's platelegs,970886.0,165000.0,110000.0
Dharok's platelegs 0,906453.0,165000.0,110000.0
Diamond,1753.0,1200.0,800.0
Diamond amulet,2083.0,2115.0,1410.0
Diamond amulet (u),1927.0,2115.0,1410.0
Diamond bolt tips,162.0,79.0,53.0
Diamond bolts,214.0,115.0,76.0
Diamond bolts (e),65.0,126.0,84.0
Diamond bracelet,2104.0,2295.0,1530.0
Diamond dragon bolts,2884.0,510.0,340.0
Diamond dragon bolts (e),2912.0,528.0,352.0
Diamond necklace,2014.0,2205.0,1470.0
Diamond ring,1929.0,2115.0,1410.0
Digsite teleport,16502.0,6.0,4.0
Dinh's bulwark,14604179.0,336000.0,224000.0
Disk of returning,18501.0,72.0,48.0
Divine bastion potion(1),7442.0,1.0,1.0
Divine bastion potion(2),14301.0,1.0,1.0
Divine bastion potion(3),21639.0,1.0,1.0
Divine bastion potion(4),29741.0,1.0,1.0
Divine battlemage potion(1),5194.0,1.0,1.0
Divine battlemage potion(2),10330.0,1.0,1.0
Divine battlemage potion(3),15268.0,1.0,1.0
Divine battlemage potion(4),27249.0,1.0,1.0
Divine magic potion(1),727.0,24.0,16.0
Divine magic potion(2),1181.0,54.0,36.0
Divine magic potion(3),1992.0,102.0,68.0
Divine magic potion(4),3254.0,150.0,100.0
Divine ranging potion(1),1528.0,24.0,16.0
Divine ranging potion(2),2977.0,54.0,36.0
Divine ranging potion(3),4507.0,102.0,68.0
Divine ranging potion(4),5758.0,150.0,100.0
Divine super attack potion(1),411.0,24.0,16.0
Divine super attack potion(2),911.0,54.0,36.0
Divine super attack potion(3),1743.0,102.0,68.0
Divine super attack potion(4),2300.0,150.0,100.0
Divine super combat potion(1),5049.0,24.0,16.0
Divine super combat potion(2),10122.0,54.0,36.0
Divine super combat potion(3),15170.0,102.0,68.0
Divine super combat potion(4),20153.0,150.0,100.0
Divine super defence potion(1),833.0,24.0,16.0
Divine super defence potion(2),1388.0,54.0,36.0
Divine super defence potion(3),2053.0,102.0,68.0
Divine super defence potion(4),4925.0,150.0,100.0
Divine super strength potion(1),1563.0,24.0,16.0
Divine super strength potion(2),2835.0,54.0,36.0
Divine super strength potion(3),4864.0,102.0,68.0
Divine super strength potion(4),6337.0,150.0,100.0
Dodgy necklace,1202.0,630.0,420.0
Doogle leaves,225.0,1.0,1.0
Dorgeshuun crossbow,2045.0,1200.0,800.0
Double eye patch,26883.0,1.0,1.0
Draconic visage,4810175.0,450000.0,300000.0
Dragon 2h sword,132299.0,132000.0,88000.0
Dragon armour set (lg),167573067.0,300000.0,200000.0
Dragon armour set (sk),128889211.0,300000.0,200000.0
Dragon arrow,1803.0,480.0,320.0
Dragon arrow(p),1922.0,480.0,320.0
Dragon arrow(p+),1802.0,480.0,320.0
Dragon arrow(p++),2664.0,480.0,320.0
Dragon arrowtips,1805.0,300.0,200.0
Dragon axe,54569.0,33000.0,22000.0
Dragon battleaxe,119266.0,120000.0,80000.0
Dragon bitter,228.0,1.0,1.0
Dragon bitter (flatpack),330.0,6.0,4.0
Dragon bitter(4),8846.0,1.0,1.0
Dragon bitter(m),633.0,1.0,1.0
Dragon bitter(m4),17818.0,1.0,1.0
Dragon bolts,2679.0,255.0,170.0
Dragon bolts (p),1413.0,258.0,172.0
Dragon bolts (p+),1524.0,261.0,174.0
Dragon bolts (p++),2542.0,264.0,176.0
Dragon bolts (unf),2707.0,84.0,56.0
Dragon bones,3813.0,96.0,64.0
Dragon boots,158761.0,12000.0,8000.0
Dragon boots ornament kit,27147.0,3000.0,2000.0
Dragon cane,20818.0,18000.0,12000.0
Dragon chainbody,207011.0,150000.0,100000.0
Dragon chainbody ornament kit,30273.0,3000.0,2000.0
Dragon claws,69275198.0,123000.0,82000.0
Dragon crossbow,1456519.0,32400.0,21600.0
Dragon crossbow (u),1279507.0,18000.0,12000.0
Dragon dagger,17482.0,18000.0,12000.0
Dragon dagger(p),18731.0,14400.0,9600.0
Dragon dagger(p+),16291.0,14400.0,9600.0
Dragon dagger(p++),22979.0,14400.0,9600.0
Dragon dart,2999.0,300.0,200.0
Dragon dart tip,3459.0,150.0,100.0
Dragon dart(p),2217.0,300.0,200.0
Dragon dart(p+),2324.0,300.0,200.0
Dragon dart(p++),3972.0,300.0,200.0
Dragon defender ornament kit,62427.0,3000.0,2000.0
Dragon felling axe,2127989.0,33000.0,22000.0
Dragon full helm,81619338.0,90000.0,60000.0
Dragon full helm ornament kit,9663.0,3000.0,2000.0
Dragon halberd,149279.0,150000.0,100000.0
Dragon harpoon,1909667.0,33000.0,22000.0
Dragon hasta,44112.0,37440.0,24960.0
Dragon hasta(p),54000.0,37440.0,24960.0
Dragon hasta(p+),53698.0,37440.0,24960.0
Dragon hasta(p++),48482.0,37440.0,24960.0
Dragon hunter crossbow,56835966.0,48000.0,32000.0
Dragon hunter lance,64556060.0,180000.0,120000.0
Dragon hunter wand,16790458.0,180000.0,120000.0
Dragon impling jar,446271.0,30.0,20.0
Dragon javelin,830.0,270.0,180.0
Dragon javelin heads,969.0,1170.0,780.0
Dragon javelin(p),1239.0,270.0,180.0
Dragon javelin(p+),1301.0,270.0,180.0
